id,centrality,guess,diff,patient_zero,cascade_size_limit,model,r_infect,r_recover
watts_strogatz_SIR_cascade20_r0.1,degree_centrality,462,1,463,20,IC,0.1,0.1
watts_strogatz_SIR_cascade20_r0.1,eigenvector_centrality,462,1,463,20,IC,0.1,0.1
watts_strogatz_SIR_cascade20_r0.1,distance_centrality,462,1,463,20,IC,0.1,0.1
watts_strogatz_SIR_cascade20_r0.2,degree_centrality,464,1,463,20,IC,0.2,0.1
watts_strogatz_SIR_cascade20_r0.2,eigenvector_centrality,464,1,463,20,IC,0.2,0.1
watts_strogatz_SIR_cascade20_r0.2,distance_centrality,464,1,463,20,IC,0.2,0.1
watts_strogatz_SIR_cascade20_r0.3,degree_centrality,463,0,463,20,IC,0.3,0.1
watts_strogatz_SIR_cascade20_r0.3,eigenvector_centrality,464,1,463,20,IC,0.3,0.1
watts_strogatz_SIR_cascade20_r0.3,distance_centrality,464,1,463,20,IC,0.3,0.1
watts_strogatz_SIR_cascade20_r0.4,degree_centrality,463,0,463,20,IC,0.4,0.1
watts_strogatz_SIR_cascade20_r0.4,eigenvector_centrality,464,1,463,20,IC,0.4,0.1
watts_strogatz_SIR_cascade20_r0.4,distance_centrality,464,1,463,20,IC,0.4,0.1
watts_strogatz_SIR_cascade20_r0.5,degree_centrality,9,4,463,20,IC,0.5,0.1
watts_strogatz_SIR_cascade20_r0.5,eigenvector_centrality,465,2,463,20,IC,0.5,0.1
watts_strogatz_SIR_cascade20_r0.5,distance_centrality,465,2,463,20,IC,0.5,0.1
watts_strogatz_SIR_cascade20_r0.6,degree_centrality,10,5,463,20,IC,0.6,0.1
watts_strogatz_SIR_cascade20_r0.6,eigenvector_centrality,10,5,463,20,IC,0.6,0.1
watts_strogatz_SIR_cascade20_r0.6,distance_centrality,465,2,463,20,IC,0.6,0.1
watts_strogatz_SIR_cascade20_r0.7,degree_centrality,10,5,463,20,IC,0.7,0.1
watts_strogatz_SIR_cascade20_r0.7,eigenvector_centrality,10,5,463,20,IC,0.7,0.1
watts_strogatz_SIR_cascade20_r0.7,distance_centrality,464,1,463,20,IC,0.7,0.1
watts_strogatz_SIR_cascade20_r0.8,degree_centrality,10,5,463,20,IC,0.8,0.1
watts_strogatz_SIR_cascade20_r0.8,eigenvector_centrality,10,5,463,20,IC,0.8,0.1
watts_strogatz_SIR_cascade20_r0.8,distance_centrality,464,1,463,20,IC,0.8,0.1
watts_strogatz_SIR_cascade20_r0.9,degree_centrality,10,5,463,20,IC,0.9,0.1
watts_strogatz_SIR_cascade20_r0.9,eigenvector_centrality,10,5,463,20,IC,0.9,0.1
watts_strogatz_SIR_cascade20_r0.9,distance_centrality,464,1,463,20,IC,0.9,0.1
watts_strogatz_SIR_cascade20_r1.0,degree_centrality,10,5,463,20,IC,1.0,0.1
watts_strogatz_SIR_cascade20_r1.0,eigenvector_centrality,10,5,463,20,IC,1.0,0.1
watts_strogatz_SIR_cascade20_r1.0,distance_centrality,463,0,463,20,IC,1.0,0.1
watts_strogatz_SIR_cascade50_r0.1,degree_centrality,462,1,463,50,IC,0.1,0.1
watts_strogatz_SIR_cascade50_r0.1,eigenvector_centrality,462,1,463,50,IC,0.1,0.1
watts_strogatz_SIR_cascade50_r0.1,distance_centrality,462,1,463,50,IC,0.1,0.1
watts_strogatz_SIR_cascade50_r0.2,degree_centrality,464,1,463,50,IC,0.2,0.1
watts_strogatz_SIR_cascade50_r0.2,eigenvector_centrality,464,1,463,50,IC,0.2,0.1
watts_strogatz_SIR_cascade50_r0.2,distance_centrality,464,1,463,50,IC,0.2,0.1
watts_strogatz_SIR_cascade50_r0.3,degree_centrality,463,0,463,50,IC,0.3,0.1
watts_strogatz_SIR_cascade50_r0.3,eigenvector_centrality,464,1,463,50,IC,0.3,0.1
watts_strogatz_SIR_cascade50_r0.3,distance_centrality,464,1,463,50,IC,0.3,0.1
watts_strogatz_SIR_cascade50_r0.4,degree_centrality,463,0,463,50,IC,0.4,0.1
watts_strogatz_SIR_cascade50_r0.4,eigenvector_centrality,464,1,463,50,IC,0.4,0.1
watts_strogatz_SIR_cascade50_r0.4,distance_centrality,464,1,463,50,IC,0.4,0.1
watts_strogatz_SIR_cascade50_r0.5,degree_centrality,9,4,463,50,IC,0.5,0.1
watts_strogatz_SIR_cascade50_r0.5,eigenvector_centrality,465,2,463,50,IC,0.5,0.1
watts_strogatz_SIR_cascade50_r0.5,distance_centrality,465,2,463,50,IC,0.5,0.1
watts_strogatz_SIR_cascade50_r0.6,degree_centrality,10,5,463,50,IC,0.6,0.1
watts_strogatz_SIR_cascade50_r0.6,eigenvector_centrality,10,5,463,50,IC,0.6,0.1
watts_strogatz_SIR_cascade50_r0.6,distance_centrality,10,5,463,50,IC,0.6,0.1
watts_strogatz_SIR_cascade50_r0.7,degree_centrality,10,5,463,50,IC,0.7,0.1
watts_strogatz_SIR_cascade50_r0.7,eigenvector_centrality,10,5,463,50,IC,0.7,0.1
watts_strogatz_SIR_cascade50_r0.7,distance_centrality,10,5,463,50,IC,0.7,0.1
watts_strogatz_SIR_cascade50_r0.8,degree_centrality,10,5,463,50,IC,0.8,0.1
watts_strogatz_SIR_cascade50_r0.8,eigenvector_centrality,10,5,463,50,IC,0.8,0.1
watts_strogatz_SIR_cascade50_r0.8,distance_centrality,10,5,463,50,IC,0.8,0.1
watts_strogatz_SIR_cascade50_r0.9,degree_centrality,10,5,463,50,IC,0.9,0.1
watts_strogatz_SIR_cascade50_r0.9,eigenvector_centrality,10,5,463,50,IC,0.9,0.1
watts_strogatz_SIR_cascade50_r0.9,distance_centrality,10,5,463,50,IC,0.9,0.1
watts_strogatz_SIR_cascade50_r1.0,degree_centrality,10,5,463,50,IC,1.0,0.1
watts_strogatz_SIR_cascade50_r1.0,eigenvector_centrality,10,5,463,50,IC,1.0,0.1
watts_strogatz_SIR_cascade50_r1.0,distance_centrality,10,5,463,50,IC,1.0,0.1
watts_strogatz_SIR_cascade100_r0.1,degree_centrality,462,1,463,100,IC,0.1,0.1
watts_strogatz_SIR_cascade100_r0.1,eigenvector_centrality,462,1,463,100,IC,0.1,0.1
watts_strogatz_SIR_cascade100_r0.1,distance_centrality,462,1,463,100,IC,0.1,0.1
watts_strogatz_SIR_cascade100_r0.2,degree_centrality,464,1,463,100,IC,0.2,0.1
watts_strogatz_SIR_cascade100_r0.2,eigenvector_centrality,464,1,463,100,IC,0.2,0.1
watts_strogatz_SIR_cascade100_r0.2,distance_centrality,464,1,463,100,IC,0.2,0.1
watts_strogatz_SIR_cascade100_r0.3,degree_centrality,463,0,463,100,IC,0.3,0.1
watts_strogatz_SIR_cascade100_r0.3,eigenvector_centrality,464,1,463,100,IC,0.3,0.1
watts_strogatz_SIR_cascade100_r0.3,distance_centrality,464,1,463,100,IC,0.3,0.1
watts_strogatz_SIR_cascade100_r0.4,degree_centrality,463,0,463,100,IC,0.4,0.1
watts_strogatz_SIR_cascade100_r0.4,eigenvector_centrality,464,1,463,100,IC,0.4,0.1
watts_strogatz_SIR_cascade100_r0.4,distance_centrality,464,1,463,100,IC,0.4,0.1
watts_strogatz_SIR_cascade100_r0.5,degree_centrality,9,4,463,100,IC,0.5,0.1
watts_strogatz_SIR_cascade100_r0.5,eigenvector_centrality,465,2,463,100,IC,0.5,0.1
watts_strogatz_SIR_cascade100_r0.5,distance_centrality,465,2,463,100,IC,0.5,0.1
watts_strogatz_SIR_cascade100_r0.6,degree_centrality,10,5,463,100,IC,0.6,0.1
watts_strogatz_SIR_cascade100_r0.6,eigenvector_centrality,10,5,463,100,IC,0.6,0.1
watts_strogatz_SIR_cascade100_r0.6,distance_centrality,101,6,463,100,IC,0.6,0.1
watts_strogatz_SIR_cascade100_r0.7,degree_centrality,10,5,463,100,IC,0.7,0.1
watts_strogatz_SIR_cascade100_r0.7,eigenvector_centrality,487,10,463,100,IC,0.7,0.1
watts_strogatz_SIR_cascade100_r0.7,distance_centrality,487,10,463,100,IC,0.7,0.1
watts_strogatz_SIR_cascade100_r0.8,degree_centrality,10,5,463,100,IC,0.8,0.1
watts_strogatz_SIR_cascade100_r0.8,eigenvector_centrality,10,5,463,100,IC,0.8,0.1
watts_strogatz_SIR_cascade100_r0.8,distance_centrality,101,6,463,100,IC,0.8,0.1
watts_strogatz_SIR_cascade100_r0.9,degree_centrality,10,5,463,100,IC,0.9,0.1
watts_strogatz_SIR_cascade100_r0.9,eigenvector_centrality,10,5,463,100,IC,0.9,0.1
watts_strogatz_SIR_cascade100_r0.9,distance_centrality,101,6,463,100,IC,0.9,0.1
watts_strogatz_SIR_cascade100_r1.0,degree_centrality,10,5,463,100,IC,1.0,0.1
watts_strogatz_SIR_cascade100_r1.0,eigenvector_centrality,10,5,463,100,IC,1.0,0.1
watts_strogatz_SIR_cascade100_r1.0,distance_centrality,101,6,463,100,IC,1.0,0.1
watts_strogatz_SIR_cascade10_r0.1,degree_centrality,462,1,463,10,IC,0.1,0.1
watts_strogatz_SIR_cascade10_r0.1,eigenvector_centrality,462,1,463,10,IC,0.1,0.1
watts_strogatz_SIR_cascade10_r0.1,distance_centrality,462,1,463,10,IC,0.1,0.1
watts_strogatz_SIR_cascade10_r0.2,degree_centrality,464,1,463,10,IC,0.2,0.1
watts_strogatz_SIR_cascade10_r0.2,eigenvector_centrality,464,1,463,10,IC,0.2,0.1
watts_strogatz_SIR_cascade10_r0.2,distance_centrality,464,1,463,10,IC,0.2,0.1
watts_strogatz_SIR_cascade10_r0.3,degree_centrality,463,0,463,10,IC,0.3,0.1
watts_strogatz_SIR_cascade10_r0.3,eigenvector_centrality,464,1,463,10,IC,0.3,0.1
watts_strogatz_SIR_cascade10_r0.3,distance_centrality,464,1,463,10,IC,0.3,0.1
watts_strogatz_SIR_cascade10_r0.4,degree_centrality,463,0,463,10,IC,0.4,0.1
watts_strogatz_SIR_cascade10_r0.4,eigenvector_centrality,464,1,463,10,IC,0.4,0.1
watts_strogatz_SIR_cascade10_r0.4,distance_centrality,464,1,463,10,IC,0.4,0.1
watts_strogatz_SIR_cascade10_r0.5,degree_centrality,9,4,463,10,IC,0.5,0.1
watts_strogatz_SIR_cascade10_r0.5,eigenvector_centrality,465,2,463,10,IC,0.5,0.1
watts_strogatz_SIR_cascade10_r0.5,distance_centrality,465,2,463,10,IC,0.5,0.1
watts_strogatz_SIR_cascade10_r0.6,degree_centrality,9,4,463,10,IC,0.6,0.1
watts_strogatz_SIR_cascade10_r0.6,eigenvector_centrality,9,4,463,10,IC,0.6,0.1
watts_strogatz_SIR_cascade10_r0.6,distance_centrality,464,1,463,10,IC,0.6,0.1
watts_strogatz_SIR_cascade10_r0.7,degree_centrality,9,4,463,10,IC,0.7,0.1
watts_strogatz_SIR_cascade10_r0.7,eigenvector_centrality,9,4,463,10,IC,0.7,0.1
watts_strogatz_SIR_cascade10_r0.7,distance_centrality,464,1,463,10,IC,0.7,0.1
watts_strogatz_SIR_cascade10_r0.8,degree_centrality,9,4,463,10,IC,0.8,0.1
watts_strogatz_SIR_cascade10_r0.8,eigenvector_centrality,9,4,463,10,IC,0.8,0.1
watts_strogatz_SIR_cascade10_r0.8,distance_centrality,464,1,463,10,IC,0.8,0.1
watts_strogatz_SIR_cascade10_r0.9,degree_centrality,9,4,463,10,IC,0.9,0.1
watts_strogatz_SIR_cascade10_r0.9,eigenvector_centrality,9,4,463,10,IC,0.9,0.1
watts_strogatz_SIR_cascade10_r0.9,distance_centrality,464,1,463,10,IC,0.9,0.1
watts_strogatz_SIR_cascade10_r1.0,degree_centrality,460,3,463,10,IC,1.0,0.1
watts_strogatz_SIR_cascade10_r1.0,eigenvector_centrality,460,3,463,10,IC,1.0,0.1
watts_strogatz_SIR_cascade10_r1.0,distance_centrality,462,1,463,10,IC,1.0,0.1
watts_strogatz_IC_cascade50_r0.1,degree_centrality,462,1,463,50,IC,0.1,
watts_strogatz_IC_cascade50_r0.1,eigenvector_centrality,462,1,463,50,IC,0.1,
watts_strogatz_IC_cascade50_r0.1,distance_centrality,462,1,463,50,IC,0.1,
watts_strogatz_IC_cascade50_r0.2,degree_centrality,462,1,463,50,IC,0.2,
watts_strogatz_IC_cascade50_r0.2,eigenvector_centrality,462,1,463,50,IC,0.2,
watts_strogatz_IC_cascade50_r0.2,distance_centrality,462,1,463,50,IC,0.2,
watts_strogatz_IC_cascade50_r0.3,degree_centrality,462,1,463,50,IC,0.3,
watts_strogatz_IC_cascade50_r0.3,eigenvector_centrality,462,1,463,50,IC,0.3,
watts_strogatz_IC_cascade50_r0.3,distance_centrality,462,1,463,50,IC,0.3,
watts_strogatz_IC_cascade50_r0.4,degree_centrality,462,1,463,50,IC,0.4,
watts_strogatz_IC_cascade50_r0.4,eigenvector_centrality,462,1,463,50,IC,0.4,
watts_strogatz_IC_cascade50_r0.4,distance_centrality,462,1,463,50,IC,0.4,
watts_strogatz_IC_cascade50_r0.5,degree_centrality,462,1,463,50,IC,0.5,
watts_strogatz_IC_cascade50_r0.5,eigenvector_centrality,462,1,463,50,IC,0.5,
watts_strogatz_IC_cascade50_r0.5,distance_centrality,462,1,463,50,IC,0.5,
watts_strogatz_IC_cascade50_r0.6,degree_centrality,462,1,463,50,IC,0.6,
watts_strogatz_IC_cascade50_r0.6,eigenvector_centrality,462,1,463,50,IC,0.6,
watts_strogatz_IC_cascade50_r0.6,distance_centrality,462,1,463,50,IC,0.6,
watts_strogatz_IC_cascade50_r0.7,degree_centrality,462,1,463,50,IC,0.7,
watts_strogatz_IC_cascade50_r0.7,eigenvector_centrality,462,1,463,50,IC,0.7,
watts_strogatz_IC_cascade50_r0.7,distance_centrality,462,1,463,50,IC,0.7,
watts_strogatz_IC_cascade50_r0.8,degree_centrality,462,1,463,50,IC,0.8,
watts_strogatz_IC_cascade50_r0.8,eigenvector_centrality,462,1,463,50,IC,0.8,
watts_strogatz_IC_cascade50_r0.8,distance_centrality,462,1,463,50,IC,0.8,
watts_strogatz_IC_cascade50_r0.9,degree_centrality,462,1,463,50,IC,0.9,
watts_strogatz_IC_cascade50_r0.9,eigenvector_centrality,462,1,463,50,IC,0.9,
watts_strogatz_IC_cascade50_r0.9,distance_centrality,462,1,463,50,IC,0.9,
watts_strogatz_IC_cascade50_r1.0,degree_centrality,10,5,463,50,IC,1.0,
watts_strogatz_IC_cascade50_r1.0,eigenvector_centrality,10,5,463,50,IC,1.0,
watts_strogatz_IC_cascade50_r1.0,distance_centrality,10,5,463,50,IC,1.0,
watts_strogatz_IC_cascade20_r0.1,degree_centrality,462,1,463,20,IC,0.1,
watts_strogatz_IC_cascade20_r0.1,eigenvector_centrality,462,1,463,20,IC,0.1,
watts_strogatz_IC_cascade20_r0.1,distance_centrality,462,1,463,20,IC,0.1,
watts_strogatz_IC_cascade20_r0.2,degree_centrality,462,1,463,20,IC,0.2,
watts_strogatz_IC_cascade20_r0.2,eigenvector_centrality,462,1,463,20,IC,0.2,
watts_strogatz_IC_cascade20_r0.2,distance_centrality,462,1,463,20,IC,0.2,
watts_strogatz_IC_cascade20_r0.3,degree_centrality,462,1,463,20,IC,0.3,
watts_strogatz_IC_cascade20_r0.3,eigenvector_centrality,462,1,463,20,IC,0.3,
watts_strogatz_IC_cascade20_r0.3,distance_centrality,462,1,463,20,IC,0.3,
watts_strogatz_IC_cascade20_r0.4,degree_centrality,462,1,463,20,IC,0.4,
watts_strogatz_IC_cascade20_r0.4,eigenvector_centrality,462,1,463,20,IC,0.4,
